,Name,Latitude,Longitude
0,An Giang,10.381116,105.419884
1,Bà Rịa - Vũng Tàu,10.410157,107.136555
2,Bạc Liêu,9.312214,105.493469
3,Bắc Giang,21.274838,106.201583
4,Bắc Kạn,22.161335,105.830498
5,Bắc Ninh,21.187548,106.073406
6,Bến Tre,10.248371,106.376152
7,Bình Dương,11.162235,106.625061
8,Bình Định,14.195163,108.880005
9,Bình Phước,11.755781,106.719818
10,Bình Thuận,11.100252,108.141174
11,Cà Mau,9.061414,105.032043
12,Cao Bằng,22.685618,106.263084
13,Cần Thơ,10.032415,105.784092
14,Đà Nẵng,16.031944,108.220556
15,Đắk Lắk,12.766268,108.325195
16,Đắk Nông,12.256812,107.701721
17,Điện Biên,21.3853964,103.0139125
18,Đồng Nai,11.05443,107.146912
19,Đồng Tháp,10.575572,105.682983
20,Gia Lai,13.904742,108.179626
21,Hà Giang,22.8168,104.980738
22,Hà Nam,20.585867,105.923996
23,Hà Nội,21.028333,105.853333
24,Hà Tĩnh,18.341002,105.907345
25,Hải Dương,20.933330,106.316670
26,Hải Phòng,20.866389,106.6825
27,Hậu Giang,9.764551,105.640411
28,Hòa Bình,20.831219,105.339661
29,Thành phố Hồ Chí Minh,10.769444,106.681944
30,Hưng Yên,20.85432,106.016006
31,Khánh Hòa,12.073058,109.047768
32,Kiên Giang,9.836273,105.125427
33,Kon Tum,14.351543,108.000412
34,Lai Châu,22.362776,103.265991
35,Lạng Sơn,21.853851,106.761189
36,Lào Cai,22.379997,104.15786
37,Lâm Đồng,11.684514,108.141174
38,Long An,10.691647,106.204834
39,Nam Định,20.25,106.2500000
40,Nghệ An,19.176301,104.977112
41,Ninh Bình,20.250924,105.974808
42,Ninh Thuận,33_56,59_25
43,Phú Thọ,0,0
44,Phú Yên,13.090179,109.091492
45,Quảng Bình,17.468573,106.254272
46,Quảng Nam,0,0
47,Quảng Ngãi,15.123875,108.811727
48,Quảng Ninh,21.250982,107.193604
49,Quảng Trị,16.830832,107.067261
50,Sóc Trăng,9.6,105.9
51,Sơn La,21.328716,103.914528
52,Tây Ninh,11.367795,106.119003
53,Thái Bình,20.538935,106.394348
54,Thái Nguyên,21.564225,105.879364
55,Thanh Hóa,20.141049,105.309448
56,Thừa Thiên - Huế,16.463744,107.58482
57,Tiền Giang,10.420288,106.296844
58,Trà Vinh,9.813946,106.298904
59,Tuyên Quang,21.777355,105.228424
60,Vĩnh Long,10.244823,105.959015
61,Vĩnh Phúc,21.363571,105.548401
62,Yên Bái,21.693161,104.872742
