,#,Tên tỉnh,Số điểm cháy
0,1,Đắk Lắk,6893
1,2,Gia Lai,6384
2,3,Kon Tum,4943
3,4,Điện Biên,3693
4,5,Bình Thuận,3563
5,6,Đồng Tháp,2915
6,7,Sơn La,2760
7,8,Quảng Nam,2489
8,9,Lâm Đồng,2142
9,10,Kiên Giang,1653
10,11,Quảng Ngãi,1591
11,12,Long An,1519
12,13,Nghệ An,1475
13,14,An Giang,1376
14,15,Ninh Thuận,1370
15,16,Cần Thơ,1334
16,17,Đắk Nông,1062
17,18,Quảng Trị,1058
18,19,Quảng Ninh,992
19,20,Lai Châu,893
20,21,Tiền Giang,639
21,22,Đồng Nai,579
22,23,Tây Ninh,571
23,24,Thừa Thiên Huế,565
24,25,Thanh Hoá,493
25,26,Bình Phước,481
26,27,Cà Mau,478
27,28,Khánh Hòa,445
28,29,Quảng Bình,424
29,30,Bình Định,404
30,31,Bà Rịa-Vũng Tàu,363
31,32,Lạng Sơn,356
32,33,Hòa Bình,329
33,34,Hà Tĩnh,326
34,35,Hà Giang,320
35,36,Bắc Giang,301
36,37,Phú Yên,282
37,38,Cao Bằng,276
38,39,Bình Dương,262
39,40,Lào Cai,254
40,41,Tuyên Quang,254
41,42,Vĩnh Long,238
42,43,Sóc Trăng,195
43,44,Phú Thọ,188
44,45,Yên Bái,171
45,46,Đà Nẵng,160
46,47,Thái Nguyên,139
47,48,Bạc Liêu,137
48,49,Hậu Giang,121
49,50,Bắc Kạn,113
50,51,Hải Dương,91
51,52,Hồ Chí Minh,79
52,53,Hà Nam,58
53,54,Bến Tre,46
54,55,Hà Nội,43
55,56,Ninh Bình,33
56,57,Trà Vinh,27
57,58,Bắc Ninh,23
58,59,Nam Định,20
59,60,Hưng Yên,14
60,61,Vĩnh Phúc,12
61,62,Hải Phòng,6
62,63,Thái Bình,3
