,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,315
1,2,Vườn quốc gia Bidoup-Núi Bà,22
2,3,Vườn quốc gia Cát Tiên,20
3,4,Vườn quốc gia Chư Yang Sin,19
4,5,Vườn quốc gia Phước Bình,17
5,6,Vườn quốc gia Chư Mom Ray,15
6,7,Vườn quốc gia Tràm Chim,5
7,8,Vườn quốc gia Hoàng Liên,4
8,9,Vườn quốc gia Xuân Sơn,4
9,10,Vườn quốc gia Kon Ka Kinh,4
10,11,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,3
11,12,Vườn quốc gia Vũ Quang,1
12,13,Vườn quốc gia Lò Gò Xa Mát,1
13,14,Vườn quốc gia Pù Mát,1
14,15,Vườn quốc gia Ba Vì,1
15,16,Vườn quốc gia Núi Chúa,1
16,17,Vườn quốc gia Cúc Phương,1
17,18,Vườn quốc gia Phong Nha Kẻ Bàng,1
18,19,Vườn quốc gia Bạch Mã,1
