,#,Tháng/Năm,Số điểm cháy
0,1,5/2007,207
1,2,6/2007,80
2,3,7/2007,31
3,4,8/2007,28
4,5,9/2007,32
5,6,10/2007,11
6,7,11/2007,38
7,8,12/2007,42
8,9,1/2008,200
9,10,2/2008,24
10,11,3/2008,584
11,12,4/2008,510
12,13,5/2008,156
13,14,6/2008,48
14,15,7/2008,57
15,16,8/2008,65
16,17,9/2008,23
17,18,10/2008,3
18,19,11/2008,21
19,20,12/2008,51
20,21,1/2009,222
21,22,2/2009,1040
22,23,3/2009,756
23,24,4/2009,217
24,25,5/2009,88
25,26,6/2009,41
26,27,7/2009,6
27,28,8/2009,29
28,29,9/2009,36
29,30,10/2009,20
30,31,11/2009,48
31,32,12/2009,88
32,33,1/2010,393
33,34,2/2010,1301
34,35,3/2010,2929
35,36,4/2010,1591
36,37,5/2010,514
37,38,6/2010,51
38,39,7/2010,14
39,40,8/2010,263
40,41,9/2010,811
41,42,10/2010,259
42,43,11/2010,485
43,44,12/2010,354
44,45,1/2011,386
45,46,2/2011,1967
46,47,3/2011,1292
47,48,4/2011,2099
48,49,5/2011,960
49,50,6/2011,366
50,51,7/2011,386
51,52,8/2011,212
52,53,9/2011,100
53,54,10/2011,68
54,55,11/2011,199
55,56,12/2011,434
56,57,1/2012,711
57,58,2/2012,2620
58,59,3/2012,3580
59,60,4/2012,2035
60,61,5/2012,842
61,62,6/2012,290
62,63,7/2012,202
63,64,8/2012,203
64,65,9/2012,113
65,66,10/2012,128
66,67,11/2012,98
67,68,12/2012,352
68,69,1/2013,686
69,70,2/2013,881
70,71,3/2013,2999
71,72,4/2013,1425
72,73,5/2013,818
73,74,6/2013,688
74,75,7/2013,135
75,76,8/2013,166
76,77,9/2013,80
77,78,10/2013,191
78,79,11/2013,134
79,80,12/2013,481
80,81,1/2014,1360
81,82,2/2014,2126
82,83,3/2014,4298
83,84,4/2014,1650
84,85,5/2014,1170
85,86,6/2014,351
86,87,7/2014,122
87,88,8/2014,196
88,89,9/2014,179
89,90,10/2014,101
90,91,11/2014,124
91,92,12/2014,237
92,93,1/2015,1065
93,94,2/2015,1288
94,95,3/2015,2615
95,96,4/2015,2403
96,97,5/2015,1395
97,98,6/2015,734
98,99,7/2015,364
99,100,8/2015,410
100,101,9/2015,354
101,102,10/2015,288
102,103,11/2015,109
103,104,12/2015,189
104,105,1/2016,894
105,106,2/2016,1809
106,107,3/2016,3320
107,108,4/2016,3571
108,109,5/2016,425
109,110,6/2016,240
110,111,7/2016,282
111,112,8/2016,228
112,113,9/2016,189
113,114,10/2016,104
114,115,11/2016,71
115,116,12/2016,190
116,117,1/2017,494
117,118,2/2017,3891
118,119,3/2017,5827
119,120,4/2017,6375
120,121,5/2017,4460
121,122,6/2017,4949
122,123,7/2017,1349
123,124,8/2017,3001
124,125,9/2017,2669
125,126,10/2017,2391
126,127,11/2017,2512
127,128,12/2017,4689
128,129,1/2018,5901
129,130,2/2018,86148
130,131,3/2018,142040
131,132,4/2018,113836
132,133,5/2018,6725
133,134,6/2018,2463
134,135,7/2018,2974
135,136,8/2018,2170
136,137,9/2018,5771
137,138,10/2018,4645
138,139,11/2018,6496
139,140,12/2018,4851
140,141,1/2019,7792
141,142,2/2019,92090
142,143,3/2019,178656
143,144,4/2019,133833
144,145,5/2019,7298
145,146,6/2019,2565
146,147,7/2019,2354
147,148,8/2019,2281
148,149,9/2019,2298
149,150,10/2019,3920
150,151,11/2019,1677
151,152,12/2019,1241
152,153,1/2020,7188
153,154,2/2020,36146
154,155,3/2020,4637
155,156,4/2020,2689
156,157,5/2020,7658
157,158,6/2020,1733
158,159,7/2020,59
159,160,8/2020,314
