,Code,Name
0,89,An Giang
1,24,Bắc Giang
2,06,Bắc Kạn
3,95,Bạc Liêu
4,27,Bắc Ninh
5,77,Bà Rịa-Vũng Tàu
6,83,Bến Tre
7,52,Bình Định
8,74,Bình Dương
9,70,Bình Phước
10,60,Bình Thuận
11,96,Cà Mau
12,92,Cần Thơ
13,04,Cao Bằng
14,66,Đắk Lắk
15,67,Đắk Nông
16,48,Đà Nẵng
17,11,Điện Biên
18,75,Đồng Nai
19,87,Đồng Tháp
20,64,Gia Lai
21,02,Hà Giang
22,30,Hải Dương
23,31,Hải Phòng
24,35,Hà Nam
25,01,Hà Nội
26,42,Hà Tĩnh
27,93,Hậu Giang
28,17,Hòa Bình
29,79,Hồ Chí Minh
30,33,Hưng Yên
31,56,Khánh Hòa
32,91,Kiên Giang
33,62,Kon Tum
34,12,Lai Châu
35,68,Lâm Đồng
36,20,Lạng Sơn
37,10,Lào Cai
38,80,Long An
39,36,Nam Định
40,40,Nghệ An
41,37,Ninh Bình
42,58,Ninh Thuận
43,25,Phú Thọ
44,54,Phú Yên
45,44,Quảng Bình
46,49,Quảng Nam
47,51,Quảng Ngãi
48,22,Quảng Ninh
49,45,Quảng Trị
50,94,Sóc Trăng
51,14,Sơn La
52,72,Tây Ninh
53,34,Thái Bình
54,19,Thái Nguyên
55,38,Thanh Hoá
56,46,Thừa Thiên Huế
57,82,Tiền Giang
58,84,Trà Vinh
59,08,Tuyên Quang
60,86,Vĩnh Long
61,26,Vĩnh Phúc
62,15,Yên Bái
