,Ma_Tinh,So_Diem_Chay,Nam
0,62,1460,2011
1,64,1082,2011
2,66,926,2011
3,40,612,2011
4,11,578,2011
5,67,525,2011
6,49,380,2011
7,14,326,2011
8,70,279,2011
9,68,273,2011
10,12,227,2011
11,51,210,2011
12,38,203,2011
13,22,190,2011
14,52,187,2011
15,60,111,2011
16,44,101,2011
17,46,85,2011
18,56,81,2011
19,6,71,2011
20,20,52,2011
21,54,51,2011
22,58,50,2011
23,8,49,2011
24,15,42,2011
25,24,39,2011
26,17,36,2011
27,4,35,2011
28,2,34,2011
29,42,29,2011
30,75,28,2011
31,19,27,2011
32,25,22,2011
33,77,18,2011
34,91,13,2011
35,10,10,2011
36,72,6,2011
37,74,6,2011
38,89,6,2011
39,80,4,2011
40,87,2,2011
41,79,1,2011
42,26,1,2011
43,93,1,2011
44,62,1873,2012
45,11,1567,2012
46,12,1102,2012
47,14,1055,2012
48,66,904,2012
49,64,800,2012
50,49,442,2012
51,40,384,2012
52,67,351,2012
53,51,255,2012
54,68,230,2012
55,38,211,2012
56,52,197,2012
57,22,194,2012
58,6,148,2012
59,44,120,2012
60,46,119,2012
61,60,110,2012
62,70,100,2012
63,15,91,2012
64,8,87,2012
65,10,82,2012
66,42,81,2012
67,4,81,2012
68,54,74,2012
69,2,72,2012
70,56,59,2012
71,20,59,2012
72,58,51,2012
73,75,48,2012
74,17,39,2012
75,91,35,2012
76,77,34,2012
77,19,33,2012
78,25,31,2012
79,24,27,2012
80,80,12,2012
81,72,5,2012
82,87,4,2012
83,96,4,2012
84,82,1,2012
85,89,1,2012
86,26,1,2012
87,62,1062,2013
88,11,996,2013
89,40,648,2013
90,66,645,2013
91,49,636,2013
92,64,612,2013
93,14,500,2013
94,67,448,2013
95,12,394,2013
96,68,356,2013
97,22,278,2013
98,51,267,2013
99,38,213,2013
100,52,187,2013
101,44,110,2013
102,54,108,2013
103,20,108,2013
104,60,104,2013
105,6,101,2013
106,15,83,2013
107,46,79,2013
108,4,73,2013
109,8,72,2013
110,56,71,2013
111,42,67,2013
112,25,63,2013
113,58,54,2013
114,70,52,2013
115,17,52,2013
116,2,46,2013
117,19,42,2013
118,24,32,2013
119,10,30,2013
120,75,30,2013
121,96,14,2013
122,91,13,2013
123,77,10,2013
124,26,6,2013
125,72,5,2013
126,87,5,2013
127,80,5,2013
128,37,2,2013
129,79,2,2013
130,1,1,2013
131,31,1,2013
132,11,1706,2014
133,12,1078,2014
134,14,974,2014
135,66,929,2014
136,49,877,2014
137,62,757,2014
138,40,750,2014
139,64,692,2014
140,67,571,2014
141,68,498,2014
142,51,474,2014
143,22,306,2014
144,52,248,2014
145,38,231,2014
146,54,163,2014
147,44,160,2014
148,56,145,2014
149,20,130,2014
150,15,122,2014
151,42,116,2014
152,58,114,2014
153,46,109,2014
154,60,106,2014
155,10,80,2014
156,17,78,2014
157,8,71,2014
158,4,66,2014
159,6,59,2014
160,24,51,2014
161,2,50,2014
162,25,42,2014
163,19,30,2014
164,80,25,2014
165,75,25,2014
166,70,23,2014
167,91,15,2014
168,72,12,2014
169,89,9,2014
170,77,7,2014
171,26,5,2014
172,96,3,2014
173,79,2,2014
174,1,2,2014
175,93,2,2014
176,94,1,2014
177,40,1021,2015
178,11,1013,2015
179,66,935,2015
180,62,917,2015
181,49,807,2015
182,64,801,2015
183,14,712,2015
184,67,490,2015
185,51,438,2015
186,52,426,2015
187,12,372,2015
188,68,297,2015
189,22,280,2015
190,38,251,2015
191,42,237,2015
192,54,191,2015
193,56,179,2015
194,8,148,2015
195,44,146,2015
196,46,141,2015
197,20,134,2015
198,6,134,2015
199,60,126,2015
200,2,119,2015
201,15,117,2015
202,4,115,2015
203,17,106,2015
204,58,100,2015
205,91,71,2015
206,10,61,2015
207,24,60,2015
208,75,46,2015
209,25,45,2015
210,19,42,2015
211,70,30,2015
212,96,27,2015
213,80,23,2015
214,77,14,2015
215,89,12,2015
216,87,7,2015
217,79,5,2015
218,72,5,2015
219,74,5,2015
220,26,3,2015
221,30,2,2015
222,82,1,2015
223,93,1,2015
224,1,1,2015
225,11,1076,2016
226,62,982,2016
227,14,928,2016
228,66,715,2016
229,52,642,2016
230,60,586,2016
231,64,578,2016
232,44,410,2016
233,12,397,2016
234,67,391,2016
235,58,387,2016
236,49,361,2016
237,54,340,2016
238,4,273,2016
239,6,270,2016
240,40,262,2016
241,46,246,2016
242,68,237,2016
243,56,233,2016
244,19,194,2016
245,24,170,2016
246,22,166,2016
247,25,143,2016
248,17,141,2016
249,20,136,2016
250,51,129,2016
251,70,126,2016
252,38,121,2016
253,75,107,2016
254,15,87,2016
255,10,83,2016
256,42,62,2016
257,8,61,2016
258,91,45,2016
259,2,43,2016
260,72,38,2016
261,80,38,2016
262,96,22,2016
263,89,20,2016
264,26,14,2016
265,77,12,2016
266,79,11,2016
267,87,11,2016
268,37,9,2016
269,74,7,2016
270,1,4,2016
271,94,4,2016
272,93,1,2016
273,95,1,2016
274,31,1,2016
275,27,1,2016
276,66,3937,2017
277,64,3118,2017
278,11,2981,2017
279,40,2655,2017
280,49,2476,2017
281,14,1843,2017
282,62,1673,2017
283,38,1545,2017
284,51,1519,2017
285,12,1268,2017
286,67,1108,2017
287,89,1093,2017
288,60,1046,2017
289,22,974,2017
290,52,958,2017
291,54,897,2017
292,75,679,2017
293,91,622,2017
294,80,613,2017
295,68,595,2017
296,20,590,2017
297,44,552,2017
298,56,483,2017
299,8,483,2017
300,24,475,2017
301,2,445,2017
302,87,442,2017
303,46,432,2017
304,42,412,2017
305,45,408,2017
306,72,380,2017
307,70,373,2017
308,19,357,2017
309,6,343,2017
310,4,303,2017
311,15,303,2017
312,10,299,2017
313,74,296,2017
314,77,295,2017
315,58,283,2017
316,30,264,2017
317,79,259,2017
318,17,246,2017
319,25,244,2017
320,27,211,2017
321,1,203,2017
322,96,195,2017
323,82,166,2017
324,94,142,2017
325,37,125,2017
326,31,122,2017
327,95,116,2017
328,35,113,2017
329,84,103,2017
330,26,93,2017
331,83,93,2017
332,93,83,2017
333,48,69,2017
334,34,53,2017
335,92,45,2017
336,36,43,2017
337,33,41,2017
338,86,24,2017
339,64,53708,2018
340,66,44124,2018
341,62,33278,2018
342,11,29281,2018
343,14,20648,2018
344,67,16236,2018
345,60,13564,2018
346,91,11711,2018
347,68,10147,2018
348,80,9784,2018
349,12,9149,2018
350,49,9089,2018
351,89,9088,2018
352,87,8036,2018
353,58,7874,2018
354,40,6958,2018
355,45,5393,2018
356,51,5325,2018
357,44,5241,2018
358,92,4526,2018
359,20,4095,2018
360,38,4020,2018
361,22,3847,2018
362,70,3652,2018
363,75,3574,2018
364,72,3512,2018
365,54,3284,2018
366,42,3171,2018
367,93,3131,2018
368,56,3070,2018
369,82,2739,2018
370,74,2351,2018
371,52,2229,2018
372,94,2145,2018
373,4,1919,2018
374,77,1830,2018
375,46,1799,2018
376,2,1740,2018
377,10,1654,2018
378,8,1649,2018
379,15,1230,2018
380,17,1225,2018
381,24,1204,2018
382,19,1186,2018
383,95,1132,2018
384,6,1117,2018
385,79,1059,2018
386,25,898,2018
387,30,853,2018
388,86,637,2018
389,84,583,2018
390,96,582,2018
391,83,582,2018
392,48,464,2018
393,27,440,2018
394,35,422,2018
395,1,420,2018
396,31,405,2018
397,37,296,2018
398,36,210,2018
399,26,189,2018
400,33,169,2018
401,34,146,2018
402,11,58974,2019
403,14,42702,2019
404,64,41429,2019
405,62,38396,2019
406,66,25068,2019
407,12,22686,2019
408,91,17981,2019
409,80,14105,2019
410,89,13744,2019
411,49,13148,2019
412,67,12424,2019
413,87,12251,2019
414,60,11112,2019
415,51,8544,2019
416,40,7515,2019
417,68,7219,2019
418,45,5625,2019
419,92,5414,2019
420,75,4727,2019
421,93,4325,2019
422,54,4163,2019
423,38,4126,2019
424,44,4056,2019
425,72,3296,2019
426,94,3256,2019
427,22,2953,2019
428,70,2831,2019
429,20,2786,2019
430,58,2575,2019
431,52,2553,2019
432,46,2466,2019
433,82,2439,2019
434,56,2349,2019
435,42,2288,2019
436,77,2193,2019
437,15,2189,2019
438,10,2089,2019
439,74,2025,2019
440,8,1945,2019
441,2,1650,2019
442,95,1460,2019
443,96,1412,2019
444,79,1304,2019
445,17,1243,2019
446,4,1158,2019
447,6,1013,2019
448,19,980,2019
449,86,963,2019
450,24,754,2019
451,84,714,2019
452,30,491,2019
453,48,482,2019
454,83,461,2019
455,25,437,2019
456,37,301,2019
457,27,288,2019
458,35,270,2019
459,1,204,2019
460,31,187,2019
461,26,95,2019
462,36,78,2019
463,34,59,2019
464,33,34,2019
465,66,6893,2020
466,64,6384,2020
467,62,4943,2020
468,11,3693,2020
469,60,3563,2020
470,87,2915,2020
471,14,2760,2020
472,49,2489,2020
473,68,2142,2020
474,91,1653,2020
475,51,1591,2020
476,80,1519,2020
477,40,1475,2020
478,89,1376,2020
479,58,1370,2020
480,92,1334,2020
481,67,1062,2020
482,45,1058,2020
483,22,992,2020
484,12,893,2020
485,82,639,2020
486,75,579,2020
487,72,571,2020
488,46,565,2020
489,38,493,2020
490,70,481,2020
491,96,478,2020
492,56,445,2020
493,44,424,2020
494,52,404,2020
495,77,363,2020
496,20,356,2020
497,17,329,2020
498,42,326,2020
499,2,320,2020
500,24,301,2020
501,54,282,2020
502,4,276,2020
503,74,262,2020
504,10,254,2020
505,8,254,2020
506,86,238,2020
507,94,195,2020
508,25,188,2020
509,15,171,2020
510,48,160,2020
511,19,139,2020
512,95,137,2020
513,93,121,2020
514,6,113,2020
515,30,91,2020
516,79,79,2020
517,35,58,2020
518,83,46,2020
519,1,43,2020
520,37,33,2020
521,84,27,2020
522,27,23,2020
523,36,20,2020
524,33,14,2020
525,26,12,2020
526,31,6,2020
527,34,3,2020
